Entity,Code,Year,Annual CO₂ emissions
United Kingdom,GBR,2004,573429760.0
United Kingdom,GBR,2005,570338370.0
United Kingdom,GBR,2006,567845600.0
United Kingdom,GBR,2007,559566460.0
United Kingdom,GBR,2008,544932400.0
United Kingdom,GBR,2009,494107700.0
United Kingdom,GBR,2010,511904580.0
United Kingdom,GBR,2011,469713300.0
United Kingdom,GBR,2012,487476770.0
United Kingdom,GBR,2013,477611260.0
United Kingdom,GBR,2014,438807070.0
United Kingdom,GBR,2015,422460800.0
United Kingdom,GBR,2016,399430140.0
United Kingdom,GBR,2017,387367140.0
United Kingdom,GBR,2018,379729760.0
United Kingdom,GBR,2019,364753280.0
United Kingdom,GBR,2020,326263200.0
United Kingdom,GBR,2021,344510080.0
United Kingdom,GBR,2022,313834780.0
United Kingdom,GBR,2023,305146340.0
United States,USA,1950,2541485300.0
United States,USA,1951,2618711600.0
United States,USA,1952,2551219500.0
United States,USA,1953,2612971300.0
United States,USA,1954,2489462300.0
United States,USA,1955,2728512000.0
United States,USA,1956,2859995000.0
United States,USA,1957,2835772200.0
United States,USA,1958,2747107600.0
United States,USA,1959,2831923200.0
United States,USA,1960,2897315000.0
United States,USA,1961,2886872800.0
United States,USA,1962,2993902000.0
United States,USA,1963,3126487600.0
United States,USA,1964,3264313600.0
United States,USA,1965,3399547000.0
United States,USA,1966,3571421400.0
United States,USA,1967,3705461000.0
United States,USA,1968,3840919600.0
United States,USA,1969,4035145200.0
United States,USA,1970,4339686000.0
United States,USA,1971,4365465000.0
United States,USA,1972,4573015000.0
United States,USA,1973,4785434000.0
United States,USA,1974,4621419000.0
United States,USA,1975,4478563000.0
United States,USA,1976,4748111400.0
United States,USA,1977,4889953300.0
United States,USA,1978,4941708300.0
United States,USA,1979,5008955400.0
United States,USA,1980,4808877600.0
United States,USA,1981,4686743000.0
United States,USA,1982,4447602000.0
United States,USA,1983,4429711000.0
United States,USA,1984,4662488000.0
United States,USA,1985,4652938000.0
United States,USA,1986,4663711000.0
United States,USA,1987,4826012700.0
United States,USA,1988,5050858500.0
United States,USA,1989,5132543500.0
United States,USA,1990,5120957000.0
United States,USA,1991,5062956500.0
United States,USA,1992,5174227500.0
United States,USA,1993,5272850400.0
United States,USA,1994,5364279300.0
United States,USA,1995,5425259500.0
United States,USA,1996,5612983000.0
United States,USA,1997,5688142300.0
United States,USA,1998,5733281000.0
United States,USA,1999,5803918000.0
United States,USA,2000,6010135600.0
United States,USA,2001,5907739600.0
United States,USA,2002,5946308000.0
United States,USA,2003,6010145300.0
United States,USA,2004,6112655000.0
United States,USA,2005,6132183000.0
United States,USA,2006,6052686000.0
United States,USA,2007,6130123000.0
United States,USA,2008,5915118600.0
United States,USA,2009,5480725500.0
United States,USA,2010,5679715300.0
United States,USA,2011,5546116000.0
United States,USA,2012,5344086000.0
United States,USA,2013,5480156700.0
United States,USA,2014,5528681000.0
United States,USA,2015,5376473000.0
United States,USA,2016,5252932000.0
United States,USA,2017,5212162000.0
United States,USA,2018,5377797000.0
United States,USA,2019,5262145000.0
United States,USA,2020,4714628000.0
United States,USA,2021,5032213000.0
United States,USA,2022,5078871000.0
United States,USA,2023,4911391000.0
